"BygnType","BruksAreal","Tid","value"
"01",">30","2020",8740
"01","30-39","2020",9699
"01","40-49","2020",17769
"01","50-59","2020",25703
"01","60-79","2020",57152
"01","80-99","2020",72009
"01","100-119","2020",107651
"01","120-139","2020",124790
"01","140-159","2020",145741
"01","160-199","2020",299567
"01","200-249","2020",222693
"01","250-299","2020",94624
"01","300-349","2020",34017
"01","300+","2020",20646
"02",">30","2020",1671
"02","30-39","2020",1349
"02","40-49","2020",3090
"02","50-59","2020",6516
"02","60-79","2020",29434
"02","80-99","2020",32469
"02","100-119","2020",41048
"02","120-139","2020",38446
"02","140-159","2020",24884
"02","160-199","2020",27529
"02","200-249","2020",11509
"02","250-299","2020",3262
"02","300-349","2020",1159
"02","300+","2020",884
"03",">30","2020",3216
"03","30-39","2020",4398
"03","40-49","2020",9573
"03","50-59","2020",19909
"03","60-79","2020",64905
"03","80-99","2020",51951
"03","100-119","2020",57626
"03","120-139","2020",47506
"03","140-159","2020",24690
"03","160-199","2020",18374
"03","200-249","2020",4847
"03","250-299","2020",916
"03","300-349","2020",262
"03","300+","2020",209
"04",">30","2020",28494
"04","30-39","2020",39702
"04","40-49","2020",65497
"04","50-59","2020",89213
"04","60-79","2020",210234
"04","80-99","2020",126822
"04","100-119","2020",50116
"04","120-139","2020",18535
"04","140-159","2020",6879
"04","160-199","2020",3989
"04","200-249","2020",1203
"04","250-299","2020",259
"04","300-349","2020",122
"04","300+","2020",135
"05",">30","2020",30006
"05","30-39","2020",5954
"05","40-49","2020",6823
"05","50-59","2020",7855
"05","60-79","2020",7010
"05","80-99","2020",1332
"05","100-119","2020",411
"05","120-139","2020",139
"05","140-159","2020",203
"05","160-199","2020",171
"05","200-249","2020",95
"05","250-299","2020",61
"05","300-349","2020",36
"05","300+","2020",85
"999",">30","2020",6691
"999","30-39","2020",5638
"999","40-49","2020",7891
"999","50-59","2020",8930
"999","60-79","2020",13732
"999","80-99","2020",9121
"999","100-119","2020",4772
"999","120-139","2020",2841
"999","140-159","2020",1686
"999","160-199","2020",1871
"999","200-249","2020",1161
"999","250-299","2020",481
"999","300-349","2020",292
"999","300+","2020",536
