"BygnType","BruksAreal","Tid","value"
"01",">30","2021",8918
"01","30-39","2021",9875
"01","40-49","2021",18013
"01","50-59","2021",25892
"01","60-79","2021",57349
"01","80-99","2021",71510
"01","100-119","2021",106178
"01","120-139","2021",123803
"01","140-159","2021",145418
"01","160-199","2021",301191
"01","200-249","2021",226568
"01","250-299","2021",96378
"01","300-349","2021",34752
"01","300+","2021",21190
"02",">30","2021",1671
"02","30-39","2021",1364
"02","40-49","2021",3125
"02","50-59","2021",6592
"02","60-79","2021",29892
"02","80-99","2021",32859
"02","100-119","2021",41459
"02","120-139","2021",38835
"02","140-159","2021",25299
"02","160-199","2021",28055
"02","200-249","2021",11828
"02","250-299","2021",3318
"02","300-349","2021",1198
"02","300+","2021",895
"03",">30","2021",3230
"03","30-39","2021",4435
"03","40-49","2021",9757
"03","50-59","2021",20171
"03","60-79","2021",65739
"03","80-99","2021",52576
"03","100-119","2021",58022
"03","120-139","2021",48104
"03","140-159","2021",25222
"03","160-199","2021",18806
"03","200-249","2021",4994
"03","250-299","2021",928
"03","300-349","2021",269
"03","300+","2021",227
"04",">30","2021",26840
"04","30-39","2021",40210
"04","40-49","2021",67744
"04","50-59","2021",91392
"04","60-79","2021",213852
"04","80-99","2021",130098
"04","100-119","2021",51682
"04","120-139","2021",19046
"04","140-159","2021",7071
"04","160-199","2021",4103
"04","200-249","2021",1214
"04","250-299","2021",266
"04","300-349","2021",127
"04","300+","2021",135
"05",">30","2021",33802
"05","30-39","2021",6551
"05","40-49","2021",7234
"05","50-59","2021",8043
"05","60-79","2021",7078
"05","80-99","2021",1364
"05","100-119","2021",405
"05","120-139","2021",139
"05","140-159","2021",198
"05","160-199","2021",175
"05","200-249","2021",96
"05","250-299","2021",64
"05","300-349","2021",36
"05","300+","2021",86
"999",">30","2021",6587
"999","30-39","2021",5623
"999","40-49","2021",7925
"999","50-59","2021",9028
"999","60-79","2021",13817
"999","80-99","2021",9309
"999","100-119","2021",4860
"999","120-139","2021",2883
"999","140-159","2021",1681
"999","160-199","2021",1858
"999","200-249","2021",1165
"999","250-299","2021",490
"999","300-349","2021",304
"999","300+","2021",572
